"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",1,0.527,0.527,2,2,1,1,0,0,0,0,0,0
"result.2",0,0.09,0.325,2,2,2,1,0,0,0,2,0,0
"result.3",0,0.001,0.276,2,2,1,1,1,0,1,0,0,0
"result.4",1,0.574,0.574,2,2,1,1,0,0,0,0,0,0
"result.5",0,0.007,0.323,1,2,1,1,0,0,0,1,0,0
"result.6",1,0.547,0.547,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.397,0.397,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.623,0.623,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.526,0.526,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.52,0.52,2,2,1,1,0,0,0,0,0,0
"result.11",0,0.105,0.129,2,2,1,1,0,1,1,0,0,0
"result.12",1,0.364,0.364,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.612,0.612,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.312,0.312,2,2,1,1,0,0,0,0,0,0
"result.15",0,0.231,0.4,2,2,1,1,0,0,1,0,0,0
"result.16",1,0.444,0.444,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.62,0.62,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.415,0.415,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.353,0.353,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.507,0.507,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.534,0.534,2,2,1,1,0,0,0,0,0,0
"result.24",0,0.113,0.402,2,2,1,1,1,0,0,0,0,0
"result.25",1,0.53,0.53,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.581,0.581,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.508,0.508,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.589,0.589,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.583,0.583,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.385,0.385,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.63,0.63,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.37,0.37,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.526,0.526,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.636,0.636,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.308,0.308,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.616,0.616,2,2,1,1,0,0,0,0,0,0
"result.37",0,0.105,0.402,2,2,1,1,0,0,1,0,0,0
"result.38",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.562,0.562,2,2,1,1,0,0,0,0,0,0
"result.40",1,0.531,0.531,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.368,0.368,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.463,0.463,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.538,0.538,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.648,0.648,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.341,0.341,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.369,0.369,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.591,0.591,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.395,0.395,2,2,1,1,0,0,0,0,0,0
"result.49",1,0.291,0.291,2,2,1,1,0,0,0,0,0,0
"result.50",1,0.272,0.272,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.581,0.581,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.53",1,0.3,0.3,2,2,1,1,0,0,0,0,0,0
"result.54",1,0.64,0.64,2,2,1,1,0,0,0,0,0,0
"result.55",0,0.08,0.449,2,2,1,1,0,0,0,0,1,0
"result.56",1,0.465,0.465,2,2,1,1,0,0,0,0,0,0
"result.57",0,0.024,0.325,2,2,1,1,1,0,0,0,0,2
"result.58",0,0.004,0.244,2,2,1,1,2,0,0,0,0,0
"result.59",1,0.18,0.18,2,2,1,1,0,0,0,0,0,0
"result.60",1,0.383,0.383,2,2,1,1,0,0,0,0,0,0
"result.61",1,0.584,0.584,2,2,1,1,0,0,0,0,0,0
"result.62",1,0.592,0.592,2,2,1,1,0,0,0,0,0,0
"result.63",1,0.462,0.462,2,2,1,1,0,0,0,0,0,0
"result.64",1,0.531,0.531,2,2,1,1,0,0,0,0,0,0
"result.65",1,0.501,0.501,2,2,1,1,0,0,0,0,0,0
"result.66",1,0.497,0.497,2,2,1,1,0,0,0,0,0,0
"result.67",0,0.21,0.365,2,2,1,1,0,0,0,0,1,0
"result.68",1,0.63,0.63,2,2,1,1,0,0,0,0,0,0
"result.69",1,0.528,0.528,2,2,1,1,0,0,0,0,0,0
"result.70",0,0.16,0.401,2,2,1,1,0,0,0,0,0,2
"result.71",1,0.606,0.606,2,2,1,1,0,0,0,0,0,0
"result.72",1,0.593,0.593,2,2,1,1,0,0,0,0,0,0
"result.73",0,0.015,0.301,2,2,1,1,0,0,2,0,0,0
"result.74",1,0.363,0.363,2,2,1,1,0,0,0,0,0,0
"result.75",1,0.457,0.457,2,2,1,1,0,0,0,0,0,0
"result.76",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0
"result.77",1,0.458,0.458,2,2,1,1,0,0,0,0,0,0
"result.78",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0
"result.79",0,0.197,0.253,2,2,1,1,0,0,1,0,0,0
"result.80",0,0,0.561,2,2,1,1,0,0,0,2,0,0
"result.81",1,0.256,0.256,2,2,1,1,0,0,0,0,0,0
"result.82",1,0.552,0.552,2,2,1,1,0,0,0,0,0,0
"result.83",1,0.305,0.305,2,2,1,1,0,0,0,0,0,0
"result.84",1,0.445,0.445,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.652,0.652,2,2,1,1,0,0,0,0,0,0
"result.86",0,0.191,0.356,2,2,1,1,0,0,0,1,0,0
"result.87",1,0.579,0.579,2,2,1,1,0,0,0,0,0,0
"result.88",1,0.325,0.325,2,2,1,1,0,0,0,0,0,0
"result.89",0,0.105,0.225,2,2,1,1,0,0,0,1,0,0
"result.90",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0
"result.91",0,0.032,0.424,2,2,1,1,0,0,0,1,0,0
"result.92",1,0.525,0.525,2,2,1,1,0,0,0,0,0,0
"result.93",1,0.543,0.543,2,2,1,1,0,0,0,0,0,0
"result.94",0,0.047,0.213,2,2,1,1,0,0,0,1,0,1
"result.95",1,0.348,0.348,2,2,1,1,0,0,0,0,0,0
"result.96",1,0.181,0.181,2,2,1,1,0,0,0,0,0,0
"result.97",1,0.292,0.292,2,2,1,1,0,0,0,0,0,0
"result.98",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0
"result.99",0,0.057,0.361,2,2,1,1,0,0,0,0,1,0
"result.100",1,0.613,0.613,2,2,1,1,0,0,0,0,0,0
