"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
"result.1",1,0.392,0.392,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.2",1,0.49,0.49,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.3",1,0.327,0.327,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.4",1,0.603,0.603,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.5",1,0.483,0.483,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.6",0,0.064,0.076,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"result.7",1,0.512,0.512,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.8",1,0.473,0.473,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.9",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.10",1,0.3,0.3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.11",1,0.577,0.577,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.12",1,0.495,0.495,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.13",1,0.383,0.383,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.14",1,0.221,0.221,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.15",1,0.289,0.289,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.16",0,0.039,0.186,2,2,1,1,1,0,0,1,0,1,0,0,0,0,0
"result.17",1,0.527,0.527,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.18",0,0.166,0.214,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0
"result.19",1,0.524,0.524,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.20",1,0.486,0.486,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.21",1,0.516,0.516,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.22",1,0.551,0.551,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.23",1,0.389,0.389,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.24",1,0.535,0.535,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.25",0,0.03,0.252,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0
"result.26",1,0.25,0.25,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.27",1,0.519,0.519,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.28",1,0.293,0.293,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.29",1,0.355,0.355,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.30",0,0.113,0.331,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
"result.31",0,0.206,0.289,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0
"result.32",1,0.222,0.222,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.33",1,0.285,0.285,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.34",1,0.578,0.578,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.35",1,0.549,0.549,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.36",1,0.192,0.192,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.37",0,0,0.169,2,2,1,2,0,0,0,0,0,0,0,0,2,0,0
"result.38",1,0.464,0.464,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.39",1,0.114,0.114,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.40",1,0.613,0.613,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.41",1,0.595,0.595,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.42",1,0.549,0.549,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.43",1,0.479,0.479,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.44",1,0.252,0.252,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.45",0,0.278,0.284,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"result.46",0,0.216,0.314,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1
"result.47",1,0.359,0.359,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.48",1,0.519,0.519,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.49",0,0.053,0.568,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0
"result.50",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.51",1,0.588,0.588,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.52",0,0.227,0.237,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0
"result.53",1,0.265,0.265,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.54",1,0.254,0.254,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.55",1,0.413,0.413,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.56",1,0.216,0.216,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.57",1,0.476,0.476,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.58",1,0.395,0.395,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.59",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.60",0,0.172,0.257,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0
"result.61",1,0.513,0.513,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.62",1,0.15,0.15,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.63",1,0.331,0.331,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.64",1,0.472,0.472,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.65",1,0.5,0.5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.66",1,0.548,0.548,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.67",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.68",0,0.056,0.219,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0
"result.69",0,0.059,0.489,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0
"result.70",1,0.242,0.242,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.71",0,0.136,0.182,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0
"result.72",1,0.332,0.332,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.73",1,0.532,0.532,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.74",1,0.426,0.426,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.75",1,0.56,0.56,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.76",1,0.416,0.416,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.77",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.78",1,0.345,0.345,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.79",1,0.422,0.422,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.80",1,0.326,0.326,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
"result.81",0,0.098,0.38,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0
