"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"result.1",1,0.362,0.362,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.2",1,0.463,0.463,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.3",0,0.139,0.192,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"result.4",1,0.485,0.485,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.5",1,0.302,0.302,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.6",1,0.179,0.179,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.7",1,0.583,0.583,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.8",1,0.542,0.542,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.9",1,0.419,0.419,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.10",1,0.522,0.522,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.11",0,0.13,0.148,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"result.12",0,0.136,0.174,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"result.13",1,0.409,0.409,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.14",1,0.345,0.345,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.15",0,0.115,0.198,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"result.16",1,0.42,0.42,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.17",1,0.327,0.327,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.18",0,0.16,0.348,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.19",1,0.412,0.412,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.20",1,0.295,0.295,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.21",1,0.585,0.585,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.22",0,0.092,0.418,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"result.23",1,0.532,0.532,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.24",1,0.445,0.445,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.25",1,0.37,0.37,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.26",1,0.328,0.328,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.27",0,0.235,0.246,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"result.28",1,0.548,0.548,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.29",0,0.07,0.423,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"result.30",1,0.318,0.318,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.31",1,0.472,0.472,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.32",1,0.523,0.523,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.33",0,0.061,0.397,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"result.34",1,0.525,0.525,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.35",1,0.245,0.245,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.36",0,0.201,0.311,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"result.37",1,0.251,0.251,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.38",0,0.203,0.351,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"result.39",1,0.199,0.199,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.40",0,0,0.202,2,2,1,1,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0
"result.41",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.42",1,0.529,0.529,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.43",1,0.464,0.464,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.44",1,0.174,0.174,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.45",1,0.473,0.473,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.46",1,0.559,0.559,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.47",1,0.426,0.426,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.48",0,0.158,0.22,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"result.49",1,0.456,0.456,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.50",0,0.022,0.16,2,2,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0
"result.51",1,0.257,0.257,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.52",1,0.081,0.081,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.53",1,0.607,0.607,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.54",1,0.5,0.5,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.55",1,0.413,0.413,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.56",1,0.522,0.522,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.57",1,0.591,0.591,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.58",1,0.643,0.643,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.59",1,0.426,0.426,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.60",1,0.251,0.251,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.61",1,0.439,0.439,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.62",1,0.528,0.528,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.63",1,0.18,0.18,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.64",1,0.443,0.443,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.65",1,0.532,0.532,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.66",1,0.335,0.335,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.67",0,0.019,0.319,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"result.68",0,0.044,0.557,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.69",1,0.453,0.453,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.70",0,0.053,0.577,2,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"result.71",1,0.501,0.501,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result.72",1,0.469,0.469,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
