"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.1",1,0.566,0.566,2,2,1,1,0,0
"result.2",0,0.025,0.534,2,2,2,1,0,0
"result.3",1,0.601,0.601,2,2,1,1,0,0
"result.4",1,0.475,0.475,2,2,1,1,0,0
"result.5",1,0.43,0.43,2,2,1,1,0,0
"result.6",1,0.487,0.487,2,2,1,1,0,0
"result.7",1,0.586,0.586,2,2,1,1,0,0
"result.8",1,0.508,0.508,2,2,1,1,0,0
"result.9",1,0.636,0.636,2,2,1,1,0,0
"result.10",1,0.527,0.527,2,2,1,1,0,0
"result.11",1,0.654,0.654,2,2,1,1,0,0
"result.12",1,0.598,0.598,2,2,1,1,0,0
"result.13",1,0.47,0.47,2,2,1,1,0,0
"result.14",1,0.637,0.637,2,2,1,1,0,0
"result.15",1,0.414,0.414,2,2,1,1,0,0
"result.16",1,0.579,0.579,2,2,1,1,0,0
"result.17",1,0.637,0.637,2,2,1,1,0,0
"result.18",1,0.478,0.478,2,2,1,1,0,0
"result.19",1,0.695,0.695,2,2,1,1,0,0
"result.20",1,0.323,0.323,2,2,1,1,0,0
"result.21",1,0.607,0.607,2,2,1,1,0,0
"result.22",0,0.131,0.387,2,2,1,1,0,2
"result.23",1,0.692,0.692,2,2,1,1,0,0
"result.24",1,0.619,0.619,2,2,1,1,0,0
"result.25",0,0.059,0.553,2,2,2,1,0,0
"result.26",1,0.428,0.428,2,2,1,1,0,0
"result.27",0,0.126,0.547,2,2,1,1,1,0
"result.28",1,0.363,0.363,2,2,1,1,0,0
"result.29",1,0.628,0.628,2,2,1,1,0,0
"result.30",1,0.393,0.393,2,2,1,1,0,0
"result.31",0,0.235,0.493,2,2,1,1,1,0
"result.32",1,0.409,0.409,2,2,1,1,0,0
"result.33",1,0.614,0.614,2,2,1,1,0,0
"result.34",1,0.645,0.645,2,2,1,1,0,0
"result.35",1,0.295,0.295,2,2,1,1,0,0
"result.36",1,0.601,0.601,2,2,1,1,0,0
"result.37",1,0.376,0.376,2,2,1,1,0,0
"result.38",0,0,0.446,2,2,2,1,1,0
"result.39",1,0.707,0.707,2,2,1,1,0,0
"result.40",1,0.623,0.623,2,2,1,1,0,0
"result.41",1,0.657,0.657,2,2,1,1,0,0
"result.42",1,0.584,0.584,2,2,1,1,0,0
"result.43",0,0.049,0.427,2,2,1,1,1,0
"result.44",1,0.37,0.37,2,2,1,1,0,0
"result.45",1,0.596,0.596,2,2,1,1,0,0
"result.46",1,0.616,0.616,2,2,1,1,0,0
"result.47",1,0.696,0.696,2,2,1,1,0,0
"result.48",1,0.446,0.446,2,2,1,1,0,0
"result.49",1,0.68,0.68,2,2,1,1,0,0
"result.50",1,0.6,0.6,2,2,1,1,0,0
"result.51",1,0.562,0.562,2,2,1,1,0,0
"result.52",1,0.434,0.434,2,2,1,1,0,0
"result.53",1,0.534,0.534,2,2,1,1,0,0
"result.54",1,0.295,0.295,2,2,1,1,0,0
"result.55",1,0.716,0.716,2,2,1,1,0,0
"result.56",0,0.075,0.494,2,2,1,1,1,1
"result.57",0,0.022,0.413,2,2,1,1,2,1
"result.58",1,0.689,0.689,2,2,1,1,0,0
"result.59",1,0.539,0.539,2,2,1,1,0,0
"result.60",1,0.65,0.65,2,2,1,1,0,0
"result.61",1,0.578,0.578,2,2,1,1,0,0
"result.62",1,0.548,0.548,2,2,1,1,0,0
"result.63",0,0.217,0.49,2,2,2,1,0,0
"result.64",0,0.012,0.562,2,2,1,1,2,1
"result.65",1,0.365,0.365,2,2,1,1,0,0
"result.66",1,0.67,0.67,2,2,1,1,0,0
"result.67",1,0.498,0.498,2,2,1,1,0,0
"result.68",0,0.004,0.681,2,2,1,1,2,0
"result.69",1,0.569,0.569,2,2,1,1,0,0
"result.70",1,0.249,0.249,2,2,1,1,0,0
"result.71",1,0.567,0.567,2,2,1,1,0,0
"result.72",1,0.547,0.547,2,2,1,1,0,0
"result.73",1,0.334,0.334,2,2,1,1,0,0
"result.74",1,0.624,0.624,2,2,1,1,0,0
"result.75",1,0.683,0.683,2,2,1,1,0,0
"result.76",1,0.591,0.591,2,2,1,1,0,0
"result.77",1,0.651,0.651,2,2,1,1,0,0
"result.78",1,0.521,0.521,2,2,1,1,0,0
"result.79",1,0.671,0.671,2,2,1,1,0,0
"result.80",1,0.587,0.587,2,2,1,1,0,0
"result.81",1,0.301,0.301,2,2,1,1,0,0
"result.82",1,0.519,0.519,2,2,1,1,0,0
"result.83",0,0.046,0.289,2,2,2,1,0,0
"result.84",1,0.618,0.618,2,2,1,1,0,0
"result.85",1,0.67,0.67,2,2,1,1,0,0
"result.86",0,0.196,0.415,2,2,1,1,1,1
"result.87",1,0.571,0.571,2,2,1,1,0,0
"result.88",1,0.66,0.66,2,2,1,1,0,0
"result.89",1,0.591,0.591,2,2,1,1,0,0
"result.90",1,0.713,0.713,2,2,1,1,0,0
"result.91",0,0.24,0.298,2,2,1,1,1,0
"result.92",1,0.424,0.424,2,2,1,1,0,0
"result.93",1,0.57,0.57,2,2,1,1,0,0
"result.94",1,0.615,0.615,2,2,1,1,0,0
"result.95",1,0.663,0.663,2,2,1,1,0,0
"result.96",1,0.339,0.339,2,2,1,1,0,0
"result.97",1,0.675,0.675,2,2,1,1,0,0
"result.98",0,0.285,0.307,2,2,2,1,0,0
"result.99",0,0.286,0.445,2,2,1,1,1,0
"result.100",1,0.69,0.69,2,2,1,1,0,0
