"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13"
"result.1",1,0.572,0.572,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.468,0.468,2,2,1,1,0,0,0,0,0,0
"result.3",0,0.174,0.392,2,2,1,1,0,0,1,0,0,0
"result.4",1,0.617,0.617,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.596,0.596,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.578,0.578,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.402,0.402,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.679,0.679,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.542,0.542,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.596,0.596,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.36,0.36,2,2,1,1,0,0,0,0,0,0
"result.12",0,0.024,0.22,2,2,1,1,0,0,2,0,0,1
"result.13",1,0.571,0.571,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.449,0.449,2,2,1,1,0,0,0,0,0,0
"result.15",0,0.067,0.262,2,2,1,1,0,0,0,0,0,1
"result.16",1,0.4,0.4,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.636,0.636,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.492,0.492,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.302,0.302,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.403,0.403,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.513,0.513,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.239,0.239,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.325,0.325,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.355,0.355,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.509,0.509,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.357,0.357,2,2,1,1,0,0,0,0,0,0
"result.29",1,0.506,0.506,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.373,0.373,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.301,0.301,2,2,1,1,0,0,0,0,0,0
"result.33",0,0,0.413,2,2,2,2,0,0,0,0,0,2
"result.34",1,0.58,0.58,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.367,0.367,2,2,1,1,0,0,0,0,0,0
"result.36",1,0.608,0.608,2,2,1,1,0,0,0,0,0,0
"result.37",0,0.169,0.378,2,2,1,1,0,0,0,0,0,1
"result.38",1,0.594,0.594,2,2,1,1,0,0,0,0,0,0
"result.39",1,0.428,0.428,2,2,1,1,0,0,0,0,0,0
"result.40",1,0.278,0.278,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.553,0.553,2,2,1,1,0,0,0,0,0,0
"result.42",0,0.173,0.295,2,2,1,1,0,0,0,2,0,0
"result.43",1,0.26,0.26,2,2,1,1,0,0,0,0,0,0
"result.44",1,0.616,0.616,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.504,0.504,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.475,0.475,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.507,0.507,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.398,0.398,2,2,1,1,0,0,0,0,0,0
"result.49",0,0.177,0.415,2,2,1,1,0,0,0,1,0,0
"result.50",0,0.015,0.535,2,2,1,1,2,0,0,0,0,0
"result.51",1,0.427,0.427,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.455,0.455,2,2,1,1,0,0,0,0,0,0
"result.53",1,0.625,0.625,2,2,1,1,0,0,0,0,0,0
"result.54",1,0.233,0.233,2,2,1,1,0,0,0,0,0,0
"result.55",1,0.439,0.439,2,2,1,1,0,0,0,0,0,0
"result.56",1,0.387,0.387,2,2,1,1,0,0,0,0,0,0
"result.57",1,0.273,0.273,2,2,1,1,0,0,0,0,0,0
"result.58",1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
"result.59",1,0.366,0.366,2,2,1,1,0,0,0,0,0,0
"result.60",1,0.376,0.376,2,2,1,1,0,0,0,0,0,0
"result.61",0,0.097,0.389,2,2,2,1,0,0,0,0,0,0
"result.62",1,0.38,0.38,2,2,1,1,0,0,0,0,0,0
"result.63",1,0.398,0.398,2,2,1,1,0,0,0,0,0,0
"result.64",1,0.453,0.453,2,2,1,1,0,0,0,0,0,0
"result.65",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0
"result.66",1,0.591,0.591,2,2,1,1,0,0,0,0,0,0
"result.67",1,0.494,0.494,2,2,1,1,0,0,0,0,0,0
"result.68",1,0.327,0.327,2,2,1,1,0,0,0,0,0,0
"result.69",1,0.572,0.572,2,2,1,1,0,0,0,0,0,0
"result.70",1,0.374,0.374,2,2,1,1,0,0,0,0,0,0
"result.71",1,0.568,0.568,2,2,1,1,0,0,0,0,0,0
"result.72",1,0.481,0.481,2,2,1,1,0,0,0,0,0,0
"result.73",1,0.599,0.599,2,2,1,1,0,0,0,0,0,0
"result.74",1,0.569,0.569,2,2,1,1,0,0,0,0,0,0
"result.75",1,0.489,0.489,2,2,1,1,0,0,0,0,0,0
"result.76",1,0.547,0.547,2,2,1,1,0,0,0,0,0,0
"result.77",0,0.036,0.271,2,2,1,1,0,0,0,1,0,0
"result.78",1,0.528,0.528,2,2,1,1,0,0,0,0,0,0
"result.79",0,0.072,0.118,2,2,1,1,0,0,0,0,0,1
"result.80",0,0.137,0.269,2,2,1,1,0,0,2,2,0,0
"result.81",0,0.188,0.404,2,2,1,1,1,0,0,0,0,0
"result.82",0,0.175,0.397,2,2,2,1,0,0,0,0,0,0
"result.83",0,0.009,0.399,2,2,1,1,2,0,0,0,0,0
"result.84",1,0.394,0.394,2,2,1,1,0,0,0,0,0,0
"result.85",1,0.609,0.609,2,2,1,1,0,0,0,0,0,0
