"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.643,0.643,2,2,1,1,0,0,0,0,0,0,1,0.543,0.543,2,2,1,1,0,0,0,0,0,0
"result.2",0,0.236,0.3,2,2,1,2,0,0,0,0,0,0,1,0.708,0.708,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.41,0.41,2,2,1,1,0,0,0,0,0,0,1,0.763,0.763,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.223,0.223,2,2,1,1,0,0,0,0,0,0,1,0.72,0.72,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.622,0.622,2,2,1,1,0,0,0,0,0,0,1,0.404,0.404,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.478,0.478,2,2,1,1,0,0,0,0,0,0,1,0.689,0.689,2,2,1,1,0,0,0,0,0,0
"result.7",0,0.225,0.416,2,2,1,1,0,0,1,0,0,0,0,0.135,0.499,2,2,1,1,0,0,1,0,0,0
"result.8",1,0.18,0.18,2,2,1,1,0,0,0,0,0,0,0,0.175,0.241,2,2,1,1,1,0,0,0,0,0
"result.9",1,0.439,0.439,2,2,1,1,0,0,0,0,0,0,0,0.289,0.327,2,2,1,2,0,0,0,0,0,0
"result.10",1,0.59,0.59,2,2,1,1,0,0,0,0,0,0,1,0.799,0.799,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.342,0.342,2,2,1,1,0,0,0,0,0,0,1,0.765,0.765,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.236,0.236,2,2,1,1,0,0,0,0,0,0,1,0.657,0.657,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.382,0.382,2,2,1,1,0,0,0,0,0,0,1,0.37,0.37,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.334,0.334,2,2,1,1,0,0,0,0,0,0,1,0.761,0.761,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.378,0.378,2,2,1,1,0,0,0,0,0,0,1,0.68,0.68,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.486,0.486,2,2,1,1,0,0,0,0,0,0,1,0.775,0.775,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.55,0.55,2,2,1,1,0,0,0,0,0,0,1,0.749,0.749,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.328,0.328,2,2,1,1,0,0,0,0,0,0,1,0.756,0.756,2,2,1,1,0,0,0,0,0,0
"result.19",1,0.302,0.302,2,2,1,1,0,0,0,0,0,0,1,0.674,0.674,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.287,0.287,2,2,1,1,0,0,0,0,0,0,0,0.185,0.192,2,2,1,1,0,1,0,0,0,0
"result.21",1,0.503,0.503,2,2,1,1,0,0,0,0,0,0,1,0.447,0.447,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0,0,0,0.452,2,2,1,1,0,2,0,0,1,0
"result.23",0,0.058,0.238,2,2,1,1,0,0,0,0,0,1,1,0.689,0.689,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.516,0.516,2,2,1,1,0,0,0,0,0,0,1,0.694,0.694,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.48,0.48,2,2,1,1,0,0,0,0,0,0,1,0.747,0.747,2,2,1,1,0,0,0,0,0,0
"result.26",1,0.489,0.489,2,2,1,1,0,0,0,0,0,0,1,0.344,0.344,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.416,0.416,2,2,1,1,0,0,0,0,0,0,1,0.711,0.711,2,2,1,1,0,0,0,0,0,0
