"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.398,0.398,2,2,1,1,0,0,0,0,0,0,1,0.818,0.818,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.488,0.488,2,2,1,1,0,0,0,0,0,0,1,0.624,0.624,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.431,0.431,2,2,1,1,0,0,0,0,0,0,1,0.603,0.603,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.425,0.425,2,2,1,1,0,0,0,0,0,0,1,0.686,0.686,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.261,0.261,2,2,1,1,0,0,0,0,0,0,1,0.766,0.766,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0,1,0.761,0.761,2,2,1,1,0,0,0,0,0,0
"result.7",1,0.352,0.352,2,2,1,1,0,0,0,0,0,0,1,0.558,0.558,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.612,0.612,2,2,1,1,0,0,0,0,0,0,0,0.053,0.697,2,2,2,1,0,0,0,0,0,0
"result.9",1,0.558,0.558,2,2,1,1,0,0,0,0,0,0,1,0.735,0.735,2,2,1,1,0,0,0,0,0,0
"result.10",1,0.301,0.301,2,2,1,1,0,0,0,0,0,0,1,0.747,0.747,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.483,0.483,2,2,1,1,0,0,0,0,0,0,1,0.72,0.72,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.445,0.445,2,2,1,1,0,0,0,0,0,0,1,0.713,0.713,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.493,0.493,2,2,1,1,0,0,0,0,0,0,1,0.405,0.405,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.508,0.508,2,2,1,1,0,0,0,0,0,0,1,0.737,0.737,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.187,0.187,2,2,1,1,0,0,0,0,0,0,1,0.559,0.559,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.602,0.602,2,2,1,1,0,0,0,0,0,0,1,0.692,0.692,2,2,1,1,0,0,0,0,0,0
