"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.676,0.676,2,2,1,1,0,0,0,0,0,0,1,0.57,0.57,2,2,1,1,0,0,0,0,0,0
"result.2",1,0.521,0.521,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.61,0.61,2,2,1,1,0,0,0,0,0,0,1,0.695,0.695,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.533,0.533,2,2,1,1,0,0,0,0,0,0,1,0.677,0.677,2,2,1,1,0,0,0,0,0,0
"result.5",0,0.093,0.225,2,2,1,1,0,0,0,1,0,0,1,0.761,0.761,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.504,0.504,2,2,1,1,0,0,0,0,0,0,1,0.576,0.576,2,2,1,1,0,0,0,0,0,0
"result.7",0,0,0.49,2,2,1,1,0,0,2,0,0,0,1,0.663,0.663,2,2,1,1,0,0,0,0,0,0
"result.8",1,0.555,0.555,2,2,1,1,0,0,0,0,0,0,1,0.767,0.767,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.609,0.609,2,2,1,1,0,0,0,0,0,0,1,0.319,0.319,2,2,1,1,0,0,0,0,0,0
"result.10",0,0.079,0.148,2,2,1,1,0,0,2,0,0,0,0,0.272,0.455,2,2,1,1,0,1,0,0,0,0
"result.11",1,0.42,0.42,2,2,1,1,0,0,0,0,0,0,1,0.733,0.733,2,2,1,1,0,0,0,0,0,0
"result.12",0,0.138,0.254,2,2,1,1,0,0,1,0,0,0,1,0.686,0.686,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.637,0.637,2,2,1,1,0,0,0,0,0,0,1,0.739,0.739,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.275,0.275,2,2,1,1,0,0,0,0,0,0,1,0.733,0.733,2,2,1,1,0,0,0,0,0,0
"result.15",1,0.488,0.488,2,2,1,1,0,0,0,0,0,0,1,0.683,0.683,2,2,1,1,0,0,0,0,0,0
"result.16",1,0.445,0.445,2,2,1,1,0,0,0,0,0,0,1,0.575,0.575,2,2,1,1,0,0,0,0,0,0
"result.17",1,0.451,0.451,2,2,1,1,0,0,0,0,0,0,1,0.632,0.632,2,2,1,1,0,0,0,0,0,0
"result.18",1,0.448,0.448,2,2,1,1,0,0,0,0,0,0,0,0.193,0.546,2,2,2,1,0,0,0,0,0,0
"result.19",1,0.344,0.344,2,2,1,1,0,0,0,0,0,0,1,0.705,0.705,2,2,1,1,0,0,0,0,0,0
"result.20",1,0.443,0.443,2,2,1,1,0,0,0,0,0,0,1,0.645,0.645,2,2,1,1,0,0,0,0,0,0
"result.21",1,0.637,0.637,2,2,1,1,0,0,0,0,0,0,1,0.771,0.771,2,2,1,1,0,0,0,0,0,0
"result.22",1,0.487,0.487,2,2,1,1,0,0,0,0,0,0,1,0.534,0.534,2,2,1,1,0,0,0,0,0,0
"result.23",1,0.527,0.527,2,2,1,1,0,0,0,0,0,0,1,0.431,0.431,2,2,1,1,0,0,0,0,0,0
"result.24",1,0.526,0.526,2,2,1,1,0,0,0,0,0,0,1,0.806,0.806,2,2,1,1,0,0,0,0,0,0
"result.25",1,0.447,0.447,2,2,1,1,0,0,0,0,0,0,1,0.712,0.712,2,2,1,1,0,0,0,0,0,0
"result.26",0,0.084,0.21,2,2,1,1,0,0,2,0,0,0,1,0.628,0.628,2,2,1,1,0,0,0,0,0,0
"result.27",1,0.571,0.571,2,2,1,1,0,0,0,0,0,0,1,0.693,0.693,2,2,1,1,0,0,0,0,0,0
"result.28",1,0.588,0.588,2,2,1,1,0,0,0,0,0,0,0,0.24,0.315,2,2,1,1,0,0,2,0,0,0
"result.29",1,0.389,0.389,2,2,1,1,0,0,0,0,0,0,1,0.535,0.535,2,2,1,1,0,0,0,0,0,0
"result.30",1,0.218,0.218,2,2,1,1,0,0,0,0,0,0,1,0.676,0.676,2,2,1,1,0,0,0,0,0,0
"result.31",1,0.481,0.481,2,2,1,1,0,0,0,0,0,0,1,0.683,0.683,2,2,1,1,0,0,0,0,0,0
"result.32",1,0.31,0.31,2,2,1,1,0,0,0,0,0,0,1,0.516,0.516,2,2,1,1,0,0,0,0,0,0
"result.33",1,0.663,0.663,2,2,1,1,0,0,0,0,0,0,1,0.584,0.584,2,2,1,1,0,0,0,0,0,0
"result.34",1,0.511,0.511,2,2,1,1,0,0,0,0,0,0,1,0.627,0.627,2,2,1,1,0,0,0,0,0,0
"result.35",1,0.591,0.591,2,2,1,1,0,0,0,0,0,0,1,0.58,0.58,2,2,1,1,0,0,0,0,0,0
"result.36",0,0.055,0.484,2,2,1,2,0,0,0,0,0,0,1,0.731,0.731,2,2,1,1,0,0,0,0,0,0
"result.37",1,0.337,0.337,2,2,1,1,0,0,0,0,0,0,1,0.615,0.615,2,2,1,1,0,0,0,0,0,0
"result.38",1,0.513,0.513,2,2,1,1,0,0,0,0,0,0,0,0,0.78,2,2,1,1,2,0,0,0,0,0
"result.39",1,0.471,0.471,2,2,1,1,0,0,0,0,0,0,1,0.55,0.55,2,2,1,1,0,0,0,0,0,0
"result.40",1,0.467,0.467,2,2,1,1,0,0,0,0,0,0,1,0.521,0.521,2,2,1,1,0,0,0,0,0,0
"result.41",1,0.419,0.419,2,2,1,1,0,0,0,0,0,0,1,0.729,0.729,2,2,1,1,0,0,0,0,0,0
"result.42",1,0.586,0.586,2,2,1,1,0,0,0,0,0,0,1,0.729,0.729,2,2,1,1,0,0,0,0,0,0
"result.43",1,0.576,0.576,2,2,1,1,0,0,0,0,0,0,1,0.691,0.691,2,2,1,1,0,0,0,0,0,0
"result.44",0,0.008,0.134,2,2,1,1,0,1,0,0,0,0,1,0.791,0.791,2,2,1,1,0,0,0,0,0,0
"result.45",1,0.616,0.616,2,2,1,1,0,0,0,0,0,0,1,0.593,0.593,2,2,1,1,0,0,0,0,0,0
"result.46",1,0.606,0.606,2,2,1,1,0,0,0,0,0,0,1,0.736,0.736,2,2,1,1,0,0,0,0,0,0
"result.47",1,0.447,0.447,2,2,1,1,0,0,0,0,0,0,1,0.738,0.738,2,2,1,1,0,0,0,0,0,0
"result.48",1,0.158,0.158,2,2,1,1,0,0,0,0,0,0,1,0.482,0.482,2,2,1,1,0,0,0,0,0,0
"result.49",1,0.554,0.554,2,2,1,1,0,0,0,0,0,0,1,0.615,0.615,2,2,1,1,0,0,0,0,0,0
"result.50",1,0.168,0.168,2,2,1,1,0,0,0,0,0,0,1,0.361,0.361,2,2,1,1,0,0,0,0,0,0
"result.51",1,0.578,0.578,2,2,1,1,0,0,0,0,0,0,1,0.714,0.714,2,2,1,1,0,0,0,0,0,0
"result.52",1,0.259,0.259,2,2,1,1,0,0,0,0,0,0,1,0.507,0.507,2,2,1,1,0,0,0,0,0,0
"result.53",1,0.429,0.429,2,2,1,1,0,0,0,0,0,0,1,0.707,0.707,2,2,1,1,0,0,0,0,0,0
"result.54",1,0.246,0.246,2,2,1,1,0,0,0,0,0,0,1,0.718,0.718,2,2,1,1,0,0,0,0,0,0
"result.55",0,0.151,0.239,2,2,2,1,0,0,0,0,0,0,0,0.22,0.49,2,2,1,1,0,0,1,0,0,0
"result.56",0,0.121,0.186,2,2,1,1,2,2,0,0,0,0,1,0.458,0.458,2,2,1,1,0,0,0,0,0,0
"result.57",0,0.098,0.247,2,2,2,1,0,0,0,0,0,0,1,0.419,0.419,2,2,1,1,0,0,0,0,0,0
"result.58",1,0.518,0.518,2,2,1,1,0,0,0,0,0,0,1,0.731,0.731,2,2,1,1,0,0,0,0,0,0
"result.59",1,0.553,0.553,2,2,1,1,0,0,0,0,0,0,0,0.052,0.297,2,2,1,1,1,0,0,0,0,0
"result.60",1,0.394,0.394,2,2,1,1,0,0,0,0,0,0,1,0.605,0.605,2,2,1,1,0,0,0,0,0,0
