"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"result.1",1,0.57,0.57,2,2,1,1,0,0,0,0,0,0,0,0,0.541,2,2,1,2,0,0,0,0,0,0
"result.2",0,0.08,0.261,2,2,1,1,0,0,0,0,1,0,1,0.626,0.626,2,2,1,1,0,0,0,0,0,0
"result.3",1,0.385,0.385,2,2,1,1,0,0,0,0,0,0,1,0.403,0.403,2,2,1,1,0,0,0,0,0,0
"result.4",1,0.425,0.425,2,2,1,1,0,0,0,0,0,0,1,0.384,0.384,2,2,1,1,0,0,0,0,0,0
"result.5",1,0.567,0.567,2,2,1,1,0,0,0,0,0,0,1,0.506,0.506,2,2,1,1,0,0,0,0,0,0
"result.6",1,0.603,0.603,2,2,1,1,0,0,0,0,0,0,1,0.665,0.665,2,2,1,1,0,0,0,0,0,0
"result.7",0,0.304,0.324,2,2,1,1,0,0,0,0,0,1,0,0.057,0.251,2,2,1,1,0,0,1,2,0,0
"result.8",1,0.395,0.395,2,2,1,1,0,0,0,0,0,0,1,0.704,0.704,2,2,1,1,0,0,0,0,0,0
"result.9",1,0.458,0.458,2,2,1,1,0,0,0,0,0,0,1,0.389,0.389,2,2,1,1,0,0,0,0,0,0
"result.10",0,0.149,0.467,2,2,1,1,0,0,0,1,0,0,1,0.472,0.472,2,2,1,1,0,0,0,0,0,0
"result.11",1,0.615,0.615,2,2,1,1,0,0,0,0,0,0,1,0.495,0.495,2,2,1,1,0,0,0,0,0,0
"result.12",1,0.551,0.551,2,2,1,1,0,0,0,0,0,0,1,0.494,0.494,2,2,1,1,0,0,0,0,0,0
"result.13",1,0.313,0.313,2,2,1,1,0,0,0,0,0,0,1,0.272,0.272,2,2,1,1,0,0,0,0,0,0
"result.14",1,0.596,0.596,2,2,1,1,0,0,0,0,0,0,0,0.172,0.281,2,2,2,1,0,0,0,0,0,0
"result.15",1,0.608,0.608,2,2,1,1,0,0,0,0,0,0,1,0.663,0.663,2,2,1,1,0,0,0,0,0,0
"result.16",0,0.161,0.416,2,2,2,1,0,0,0,0,0,0,1,0.469,0.469,2,2,1,1,0,0,0,0,0,0
